7,ricepl-1.cs.rice.edu,26,Rice University,128.42.142.41,unknown,unknown
11,pl1.eecs.utk.edu,34,University of Tennessee at Knoxville,160.36.57.172,us-central1-f,us-central1
14,planetlab1.cs.ubc.ca,36,University of British Columbia,142.103.2.1,us-central1-f,us-central1
15,planetlab2.cs.ubc.ca,36,University of British Columbia,142.103.2.2,us-central1-b,us-central1
19,planetlab1.cs.umass.edu,38,University of Massachusetts Amherst,128.119.247.251,us-central1-c,us-central1
33,planetlab1.postel.org,18,"University of Southern California, ISI",206.117.37.4,us-central1-f,us-central1
35,planetlab02.cs.washington.edu,14,University of Washington,128.208.4.198,us-central1-a,us-central1
36,planetlab03.cs.washington.edu,14,University of Washington,128.208.4.199,us-central1-b,us-central1
42,planetlab-3.cmcl.cs.cmu.edu,15,Carnegie Mellon University,128.2.211.115,unknown,unknown
73,planetlab1.netlab.uky.edu,4,University of Kentucky,128.163.142.20,us-central1-a,us-central1
74,planetlab2.netlab.uky.edu,4,University of Kentucky,128.163.142.21,us-central1-a,us-central1
77,lefthand.eecs.harvard.edu,2,Harvard University,140.247.60.123,us-central1-b,us-central1
78,righthand.eecs.harvard.edu,2,Harvard University,140.247.60.126,us-central1-b,us-central1
85,planetlab2.cis.upenn.edu,9,University of Pennsylvania,158.130.6.253,us-central1-c,us-central1
87,ricepl-2.cs.rice.edu,26,Rice University,128.42.142.42,us-central1-b,us-central1
90,planetlab1.eecs.umich.edu,21,University of Michigan,141.213.4.201,us-central1-f,us-central1
94,planetlab1.cs.columbia.edu,16,Columbia University,128.59.20.226,us-central1-a,us-central1
95,planetlab2.cs.columbia.edu,16,Columbia University,128.59.20.227,us-central1-c,us-central1
96,planetlab3.cs.columbia.edu,16,Columbia University,128.59.20.228,us-central1-a,us-central1
108,planetlab1.cs.uiuc.edu,58,University of Illinois at Urbana-Champaign,72.36.112.71,us-central1-b,us-central1
159,planetlab1.cs.purdue.edu,77,Purdue,128.10.18.52,us-central1-b,us-central1
160,planetlab2.cs.purdue.edu,77,Purdue,128.10.18.53,us-central1-b,us-central1
164,planetlab1.cnds.jhu.edu,81,Johns Hopkins CNDS,128.220.231.2,us-central1-b,us-central1
165,planetlab2.cnds.jhu.edu,81,Johns Hopkins CNDS,128.220.231.3,unknown,unknown
201,planetlab1.pop-mg.rnp.br,92,Universidade Federal de Minas Gerais,200.19.159.34,us-central1-a,us-central1
202,planetlab2.pop-mg.rnp.br,92,Universidade Federal de Minas Gerais,200.19.159.35,us-central1-a,us-central1
224,planetlab1.tamu.edu,109,Texas AM University,0.0.0.0,unknown,unknown
225,planetlab2.tamu.edu,109,Texas AM University,0.0.0.0,unknown,unknown
3230,planetlab1.bgu.ac.il,131,Ben-Gurion University of the Negev,132.72.23.10,unknown,unknown
3412,pli1-pa-4.hpl.hp.com,79,HP Labs,204.123.28.55,us-central1-f,us-central1
8161,planetlab1.ewi.tudelft.nl,175,Delft University of Technology,130.161.40.153,unknown,unknown
10096,planetlab1.cs.unc.edu,57,University of North Carolina at Chapel Hill,204.85.191.10,us-central1-a,us-central1
10112,planetlab1.cs.colorado.edu,10038,University of Colorado at Boulder,128.138.207.44,us-central1-f,us-central1
10154,planetlab1.ie.cuhk.edu.hk,44,The Chinese University of Hong Kong,137.189.98.208,unknown,unknown
10172,planetlab1.acis.ufl.edu,10061,University of Florida - ACIS Lab,128.227.150.11,us-central1-a,us-central1
10173,planetlab2.acis.ufl.edu,10061,University of Florida - ACIS Lab,128.227.150.12,us-central1-b,us-central1
10175,planetlab1.cs.pitt.edu,10066,University of Pittsburgh,192.52.240.213,unknown,unknown
10185,planetlab2.ie.cuhk.edu.hk,44,The Chinese University of Hong Kong,0.0.0.0,unknown,unknown
10203,planetlab2.rutgers.edu,78,Rutgers University,165.230.49.115,us-central1-a,us-central1
10208,planetlab-1.ssvl.kth.se,10074,"Royal Institute of Technology (KTH), Sweden",192.16.125.11,europe-west1-d,europe-west
10236,planetlab1.rutgers.edu,78,Rutgers University,165.230.49.114,us-central1-a,us-central1
10268,planetlab-2.cs.colostate.edu,10085,Colorado State University,129.82.12.188,unknown,unknown
10381,planet-lab1.cs.ucr.edu,10109,"University of California, Riverside",169.235.24.133,asia-east1-a,asia-east
10382,planet-lab2.cs.ucr.edu,10109,"University of California, Riverside",169.235.24.232,asia-east1-a,asia-east
10390,planetlab2.csee.usf.edu,10107,University of South Florida (CSE),131.247.2.242,us-central1-f,us-central1
10395,planetlab-1.cse.ohio-state.edu,10110,Ohio State University,164.107.127.12,unknown,unknown
10396,planetlab-2.cse.ohio-state.edu,10110,Ohio State University,164.107.127.13,us-central1-b,us-central1
10484,planetlab1.eecs.wsu.edu,10138,Washington State University,134.121.64.4,us-central1-c,us-central1
10485,planetlab2.eecs.wsu.edu,10138,Washington State University,134.121.64.7,us-central1-a,us-central1
10505,planetlab1.sfc.wide.ad.jp,10145,Keio University,203.178.143.10,asia-east1-b,asia-east
10506,planetlab2.sfc.wide.ad.jp,10145,Keio University,203.178.143.28,asia-east1-b,asia-east
10522,planetlab1.uta.edu,10150,University of Texas at Arlington,129.107.35.131,unknown,unknown
10524,planetlab1.cesnet.cz,10151,CESNET - Czech Education and Research Network,195.113.161.82,europe-west1-c,europe-west
